,Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races,Total
0,United States,0.096,0.229,0.193,0.112,0.262,0.159,0.134
1,Alabama,0.117,0.269,0.306,0.193,0.0,0.239,0.168
2,Alaska,0.083,0.0,0.0,0.0,0.246,0.112,0.117
3,Arizona,0.101,0.23,0.197,0.109,0.36,0.143,0.147
4,Arkansas,0.13,0.278,0.237,0.15,0.284,0.163,0.162
5,California,0.089,0.204,0.174,0.103,0.177,0.121,0.132
6,Colorado,0.083,0.136,0.163,0.086,0.128,0.122,0.103
7,Connecticut,0.058,0.147,0.204,0.088,0.0,0.119,0.094
8,Delaware,0.094,0.19,0.202,0.123,0.0,0.19,0.129
9,District of Columbia,0.059,0.249,0.154,0.175,0.0,0.0,0.164
10,Florida,0.1,0.217,0.177,0.135,0.189,0.166,0.14
11,Georgia,0.099,0.218,0.238,0.097,0.171,0.206,0.152
12,Hawaii,0.102,0.0,0.188,0.095,0.0,0.092,0.106
13,Idaho,0.119,0.602,0.188,0.157,0.201,0.124,0.132
14,Illinois,0.089,0.261,0.152,0.114,0.185,0.172,0.127
15,Indiana,0.11,0.261,0.214,0.17,0.167,0.229,0.135
16,Iowa,0.087,0.329,0.143,0.144,0.0,0.183,0.102
17,Kansas,0.098,0.279,0.167,0.161,0.194,0.16,0.12
18,Kentucky,0.162,0.249,0.26,0.16,0.0,0.239,0.174
19,Louisiana,0.122,0.337,0.245,0.167,0.245,0.21,0.2
20,Maine,0.106,0.0,0.194,0.0,0.369,0.213,0.114
21,Maryland,0.064,0.134,0.14,0.071,0.0,0.12,0.094
22,Massachusetts,0.067,0.164,0.253,0.159,0.0,0.14,0.104
23,Michigan,0.109,0.297,0.211,0.094,0.152,0.223,0.142
24,Minnesota,0.07,0.279,0.234,0.127,0.268,0.121,0.098
25,Mississippi,0.119,0.313,0.179,0.164,0.39,0.256,0.197
26,Missouri,0.112,0.237,0.173,0.202,0.159,0.197,0.133
27,Montana,0.107,0.0,0.226,0.0,0.274,0.205,0.126
28,Nebraska,0.077,0.275,0.211,0.207,0.202,0.188,0.107
29,Nevada,0.091,0.295,0.157,0.103,0.268,0.114,0.131
30,New Hampshire,0.07,0.21,0.0,0.091,0.0,0.0,0.075
31,New Jersey,0.056,0.178,0.173,0.065,0.0,0.109,0.097
32,New Mexico,0.118,0.241,0.232,0.0,0.338,0.205,0.196
33,New York,0.093,0.208,0.217,0.149,0.277,0.158,0.14
34,North Carolina,0.104,0.217,0.276,0.133,0.253,0.205,0.149
35,North Dakota,0.08,0.0,0.169,0.0,0.329,0.196,0.098
36,Ohio,0.106,0.284,0.265,0.138,0.308,0.26,0.139
37,Oklahoma,0.123,0.258,0.229,0.098,0.205,0.188,0.154
38,Oregon,0.117,0.263,0.189,0.136,0.245,0.159,0.132
39,Pennsylvania,0.091,0.253,0.279,0.14,0.323,0.178,0.125
40,Rhode Island,0.08,0.222,0.241,0.14,0.0,0.142,0.117
41,South Carolina,0.105,0.243,0.272,0.137,0.246,0.234,0.154
42,South Dakota,0.079,0.0,0.16,0.0,0.532,0.0,0.122
43,Tennessee,0.123,0.242,0.243,0.117,0.216,0.209,0.151
44,Texas,0.085,0.19,0.204,0.099,0.178,0.129,0.146
45,Utah,0.08,0.196,0.157,0.131,0.288,0.109,0.096
46,Vermont,0.108,0.0,0.0,0.0,0.0,0.0,0.111
47,Virginia,0.082,0.18,0.123,0.068,0.0,0.135,0.105
48,Washington,0.088,0.201,0.211,0.097,0.291,0.126,0.112
49,West Virginia,0.184,0.305,0.264,0.0,0.553,0.285,0.191
50,Wisconsin,0.083,0.292,0.205,0.142,0.266,0.209,0.109
51,Wyoming,0.101,0.0,0.214,0.0,0.283,0.226,0.118
